id,apartment
fix1,apt1
fix2,apt2
fix3,apt3
fix4,apt4
fix5,apt5
fix6,apt6
fix7,apt7
fix8,apt8
fix9,apt9
fix10,apt10
fix11,apt11
fix12,apt12
fix13,apt13
fix14,apt14
fix15,apt15
fix16,apt16
fix17,apt17
fix18,apt18
fix19,apt19
fix20,apt20
fix21,apt21
fix22,apt22
fix23,apt23
fix24,apt24
fix25,apt25
fix26,apt1
fix27,apt2
fix28,apt3
fix29,apt4
fix30,apt5
fix31,apt6
fix32,apt7
fix33,apt8
fix34,apt9
fix35,apt10
fix36,apt11
fix37,apt12
fix38,apt13
fix39,apt14
fix40,apt15
fix41,apt16
fix42,apt17
fix43,apt18
fix44,apt19
fix45,apt20
fix46,apt21
fix47,apt22
fix48,apt23
fix49,apt24
fix50,apt25
fix51,apt1
fix52,apt2
fix53,apt3
fix54,apt4
fix55,apt5
fix56,apt6
fix57,apt7
fix58,apt8
fix59,apt9
fix60,apt10
fix61,apt11
fix62,apt12
fix63,apt13
fix64,apt14
fix65,apt15
fix66,apt16
fix67,apt17
fix68,apt18
fix69,apt19
fix70,apt20
fix71,apt21
fix72,apt22
fix73,apt23
fix74,apt24
fix75,apt25
fix76,apt1
fix77,apt2
fix78,apt3
fix79,apt4
fix80,apt5
fix81,apt6
fix82,apt7
fix83,apt8
fix84,apt9
fix85,apt10
fix86,apt11
fix87,apt12
fix88,apt13
fix89,apt14
fix90,apt15
fix91,apt16
fix92,apt17
fix93,apt18
fix94,apt19
fix95,apt20
fix96,apt21
fix97,apt22
fix98,apt23
fix99,apt24
fix100,apt25
fix101,apt1
fix102,apt2
fix103,apt3
fix104,apt4
fix105,apt5
fix106,apt6
fix107,apt7
fix108,apt8
fix109,apt9
fix110,apt10
fix111,apt11
fix112,apt12
fix113,apt13
fix114,apt14
fix115,apt15
fix116,apt16
fix117,apt17
fix118,apt18
fix119,apt19
fix120,apt20
fix121,apt21
fix122,apt22
fix123,apt23
fix124,apt24
fix125,apt25
fix126,apt1
fix127,apt2
fix128,apt3
fix129,apt4
fix130,apt5
fix131,apt6
