SN,timestamp,end,Status,Watts,Lumens,Temp,Voltage
SMBLB26,2024-01-01 00:00:00,2024-01-01 01:00:00,1,18.88,324.13,60.53,110
SMBLB26,2024-01-01 01:00:00,2024-01-01 02:00:00,1,15.2,709.85,79.54,111
SMBLB26,2024-01-01 02:00:00,2024-01-01 03:00:00,1,12.93,738.29,78.71,129
SMBLB26,2024-01-01 03:00:00,2024-01-01 04:00:00,1,17.25,512.54,76.15,127
SMBLB26,2024-01-01 04:00:00,2024-01-01 05:00:00,1,6.52,332.04,75.47,117
SMBLB26,2024-01-01 05:00:00,2024-01-01 06:00:00,1,7.2,378.74,63.86,112
SMBLB26,2024-01-01 06:00:00,2024-01-01 07:00:00,1,8.2,638.6,70.2,126
SMBLB26,2024-01-01 07:00:00,2024-01-01 08:00:00,1,7.42,593.68,71.29,121
SMBLB26,2024-01-01 08:00:00,2024-01-01 09:00:00,1,14.43,448.81,66.04,117
SMBLB26,2024-01-01 09:00:00,2024-01-01 10:00:00,1,6.15,418.06,78.03,115
SMBLB26,2024-01-01 10:00:00,2024-01-01 11:00:00,1,14.8,712.96,74.13,129
SMBLB26,2024-01-01 11:00:00,2024-01-01 12:00:00,1,11.75,335.69,71.84,123
SMBLB26,2024-01-01 12:00:00,2024-01-01 13:00:00,1,19.1,340.6,84.93,113
SMBLB26,2024-01-01 13:00:00,2024-01-01 14:00:00,1,18.29,761.54,68.42,129
SMBLB26,2024-01-01 14:00:00,2024-01-01 15:00:00,1,14.38,446.52,62.18,112
SMBLB26,2024-01-01 15:00:00,2024-01-01 16:00:00,1,9.73,337.32,88.93,124
SMBLB26,2024-01-01 16:00:00,2024-01-01 17:00:00,1,10.34,557.66,76.76,121
SMBLB26,2024-01-01 17:00:00,2024-01-01 18:00:00,1,19.75,497.98,78.23,124
SMBLB26,2024-01-01 18:00:00,2024-01-01 19:00:00,1,10.48,576.81,67.6,128
SMBLB26,2024-01-01 19:00:00,2024-01-01 20:00:00,1,5.49,494.94,72.0,114
SMBLB26,2024-01-01 20:00:00,2024-01-01 21:00:00,1,12.19,776.71,61.12,129
SMBLB26,2024-01-01 21:00:00,2024-01-01 22:00:00,1,12.63,632.06,88.39,118
SMBLB26,2024-01-01 22:00:00,2024-01-01 23:00:00,1,11.3,529.8,80.92,124
SMBLB26,2024-01-01 23:00:00,2024-01-02 00:00:00,1,15.63,638.56,78.38,113
SMBLB26,2024-01-02 00:00:00,2024-01-02 01:00:00,1,15.51,741.14,62.83,118
SMBLB26,2024-01-02 01:00:00,2024-01-02 02:00:00,1,13.35,676.18,82.5,126
SMBLB26,2024-01-02 02:00:00,2024-01-02 03:00:00,1,14.05,379.98,68.72,121
SMBLB26,2024-01-02 03:00:00,2024-01-02 04:00:00,1,5.69,635.8,75.54,115
SMBLB26,2024-01-02 04:00:00,2024-01-02 05:00:00,1,14.91,318.18,84.06,110
SMBLB26,2024-01-02 05:00:00,2024-01-02 06:00:00,1,17.76,502.96,77.32,114
SMBLB26,2024-01-02 06:00:00,2024-01-02 07:00:00,1,7.83,433.56,84.62,125
SMBLB26,2024-01-02 07:00:00,2024-01-02 08:00:00,1,8.58,533.11,85.29,115
SMBLB26,2024-01-02 08:00:00,2024-01-02 09:00:00,1,5.71,523.26,72.91,111
SMBLB26,2024-01-02 09:00:00,2024-01-02 10:00:00,1,12.93,696.0,67.3,118
SMBLB26,2024-01-02 10:00:00,2024-01-02 11:00:00,1,13.2,760.34,67.57,123
SMBLB26,2024-01-02 11:00:00,2024-01-02 12:00:00,1,10.89,383.67,61.58,116
SMBLB26,2024-01-02 12:00:00,2024-01-02 13:00:00,1,7.31,361.84,89.22,124
SMBLB26,2024-01-02 13:00:00,2024-01-02 14:00:00,1,12.05,391.99,74.38,120
SMBLB26,2024-01-02 14:00:00,2024-01-02 15:00:00,1,7.97,498.13,89.27,127
SMBLB26,2024-01-02 15:00:00,2024-01-02 16:00:00,1,8.55,740.1,77.15,116
SMBLB26,2024-01-02 16:00:00,2024-01-02 17:00:00,1,13.71,615.29,82.35,126
SMBLB26,2024-01-02 17:00:00,2024-01-02 18:00:00,1,12.31,570.91,60.48,128
SMBLB26,2024-01-02 18:00:00,2024-01-02 19:00:00,1,5.34,526.49,81.08,119
SMBLB26,2024-01-02 19:00:00,2024-01-02 20:00:00,1,9.98,548.93,77.39,127
SMBLB26,2024-01-02 20:00:00,2024-01-02 21:00:00,1,5.15,400.37,63.22,122
SMBLB26,2024-01-02 21:00:00,2024-01-02 22:00:00,1,14.0,704.67,64.41,115
SMBLB26,2024-01-02 22:00:00,2024-01-02 23:00:00,1,10.57,375.41,85.22,121
SMBLB26,2024-01-02 23:00:00,2024-01-03 00:00:00,1,8.33,319.58,69.41,111
SMBLB26,2024-01-03 00:00:00,2024-01-03 01:00:00,1,16.56,606.94,64.36,122
SMBLB26,2024-01-03 01:00:00,2024-01-03 02:00:00,1,6.11,402.34,84.43,119
SMBLB26,2024-01-03 02:00:00,2024-01-03 03:00:00,1,12.81,420.96,69.73,129
SMBLB26,2024-01-03 03:00:00,2024-01-03 04:00:00,1,18.36,518.61,89.71,110
SMBLB26,2024-01-03 04:00:00,2024-01-03 05:00:00,1,7.2,666.47,64.04,111
SMBLB26,2024-01-03 05:00:00,2024-01-03 06:00:00,1,13.38,671.81,78.05,125
SMBLB26,2024-01-03 06:00:00,2024-01-03 07:00:00,1,15.34,323.99,86.53,125
SMBLB26,2024-01-03 07:00:00,2024-01-03 08:00:00,1,10.37,379.17,71.94,116
SMBLB26,2024-01-03 08:00:00,2024-01-03 09:00:00,1,7.47,499.64,80.92,127
SMBLB26,2024-01-03 09:00:00,2024-01-03 10:00:00,1,10.04,624.22,63.03,125
SMBLB26,2024-01-03 10:00:00,2024-01-03 11:00:00,1,9.46,523.11,71.38,111
SMBLB26,2024-01-03 11:00:00,2024-01-03 12:00:00,1,18.72,794.26,76.67,118
SMBLB26,2024-01-03 12:00:00,2024-01-03 13:00:00,1,16.03,754.11,82.71,128
SMBLB26,2024-01-03 13:00:00,2024-01-03 14:00:00,1,18.06,575.9,62.15,118
SMBLB26,2024-01-03 14:00:00,2024-01-03 15:00:00,1,18.75,613.53,67.45,118
SMBLB26,2024-01-03 15:00:00,2024-01-03 16:00:00,1,12.64,404.67,72.91,112
SMBLB26,2024-01-03 16:00:00,2024-01-03 17:00:00,1,16.27,412.43,68.33,125
SMBLB26,2024-01-03 17:00:00,2024-01-03 18:00:00,1,8.25,556.1,60.18,120
SMBLB26,2024-01-03 18:00:00,2024-01-03 19:00:00,1,11.76,500.47,85.96,115
SMBLB26,2024-01-03 19:00:00,2024-01-03 20:00:00,1,18.82,652.83,89.21,113
SMBLB26,2024-01-03 20:00:00,2024-01-03 21:00:00,1,19.61,693.05,80.29,122
SMBLB26,2024-01-03 21:00:00,2024-01-03 22:00:00,1,19.94,754.57,84.76,119
SMBLB26,2024-01-03 22:00:00,2024-01-03 23:00:00,1,17.17,648.64,63.81,120
SMBLB26,2024-01-03 23:00:00,2024-01-04 00:00:00,1,14.9,477.24,73.82,121
SMBLB26,2024-01-04 00:00:00,2024-01-04 01:00:00,1,19.65,513.84,61.02,111
SMBLB26,2024-01-04 01:00:00,2024-01-04 02:00:00,1,10.62,494.0,63.94,111
SMBLB26,2024-01-04 02:00:00,2024-01-04 03:00:00,1,14.64,568.74,79.51,114
SMBLB26,2024-01-04 03:00:00,2024-01-04 04:00:00,1,19.83,629.86,83.16,114
SMBLB26,2024-01-04 04:00:00,2024-01-04 05:00:00,1,10.14,364.47,70.92,121
SMBLB26,2024-01-04 05:00:00,2024-01-04 06:00:00,1,18.05,765.85,67.21,116
SMBLB26,2024-01-04 06:00:00,2024-01-04 07:00:00,1,9.41,328.32,77.95,118
SMBLB26,2024-01-04 07:00:00,2024-01-04 08:00:00,1,14.13,794.02,72.58,113
SMBLB26,2024-01-04 08:00:00,2024-01-04 09:00:00,1,7.37,585.88,83.02,129
SMBLB26,2024-01-04 09:00:00,2024-01-04 10:00:00,1,7.79,719.31,72.5,120
SMBLB26,2024-01-04 10:00:00,2024-01-04 11:00:00,1,18.58,644.32,69.86,127
SMBLB26,2024-01-04 11:00:00,2024-01-04 12:00:00,1,9.28,457.24,70.11,119
SMBLB26,2024-01-04 12:00:00,2024-01-04 13:00:00,1,10.43,492.39,80.2,120
SMBLB26,2024-01-04 13:00:00,2024-01-04 14:00:00,1,11.53,330.92,81.53,120
SMBLB26,2024-01-04 14:00:00,2024-01-04 15:00:00,1,15.15,707.57,89.77,112
SMBLB26,2024-01-04 15:00:00,2024-01-04 16:00:00,1,18.08,453.85,74.5,127
SMBLB26,2024-01-04 16:00:00,2024-01-04 17:00:00,1,9.7,495.35,76.95,118
SMBLB26,2024-01-04 17:00:00,2024-01-04 18:00:00,1,9.01,341.54,63.45,124
SMBLB26,2024-01-04 18:00:00,2024-01-04 19:00:00,1,9.75,601.03,61.67,118
SMBLB26,2024-01-04 19:00:00,2024-01-04 20:00:00,1,8.25,411.54,89.14,118
SMBLB26,2024-01-04 20:00:00,2024-01-04 21:00:00,1,11.56,387.22,72.94,123
SMBLB26,2024-01-04 21:00:00,2024-01-04 22:00:00,1,17.51,360.58,81.01,127
SMBLB26,2024-01-04 22:00:00,2024-01-04 23:00:00,1,9.42,397.19,87.73,112
SMBLB26,2024-01-04 23:00:00,2024-01-05 00:00:00,1,6.69,433.83,67.45,110
SMBLB26,2024-01-05 00:00:00,2024-01-05 01:00:00,1,12.72,590.37,76.35,117
SMBLB26,2024-01-05 01:00:00,2024-01-05 02:00:00,1,13.75,417.01,64.76,111
SMBLB26,2024-01-05 02:00:00,2024-01-05 03:00:00,1,17.84,392.31,65.64,128
SMBLB26,2024-01-05 03:00:00,2024-01-05 04:00:00,1,12.01,331.38,86.5,113
SMBLB26,2024-01-05 04:00:00,2024-01-05 05:00:00,1,19.34,743.42,85.43,118
SMBLB26,2024-01-05 05:00:00,2024-01-05 06:00:00,1,17.44,705.08,76.65,118
SMBLB26,2024-01-05 06:00:00,2024-01-05 07:00:00,1,10.94,786.23,86.55,120
SMBLB26,2024-01-05 07:00:00,2024-01-05 08:00:00,1,15.04,577.9,87.68,129
SMBLB26,2024-01-05 08:00:00,2024-01-05 09:00:00,1,15.91,757.26,71.31,116
SMBLB26,2024-01-05 09:00:00,2024-01-05 10:00:00,1,13.68,397.57,86.41,114
SMBLB26,2024-01-05 10:00:00,2024-01-05 11:00:00,1,8.16,396.5,73.63,128
SMBLB26,2024-01-05 11:00:00,2024-01-05 12:00:00,1,14.2,307.88,75.29,111
SMBLB26,2024-01-05 12:00:00,2024-01-05 13:00:00,1,10.57,526.17,74.26,117
SMBLB26,2024-01-05 13:00:00,2024-01-05 14:00:00,1,14.78,603.22,68.78,113
SMBLB26,2024-01-05 14:00:00,2024-01-05 15:00:00,1,5.06,338.34,72.39,128
SMBLB26,2024-01-05 15:00:00,2024-01-05 16:00:00,1,13.65,609.97,71.11,126
SMBLB26,2024-01-05 16:00:00,2024-01-05 17:00:00,1,19.84,431.29,82.88,114
SMBLB26,2024-01-05 17:00:00,2024-01-05 18:00:00,1,6.27,662.01,66.07,122
SMBLB26,2024-01-05 18:00:00,2024-01-05 19:00:00,1,6.69,791.44,85.78,124
SMBLB26,2024-01-05 19:00:00,2024-01-05 20:00:00,1,7.45,703.52,77.33,118
SMBLB26,2024-01-05 20:00:00,2024-01-05 21:00:00,1,19.86,524.99,87.27,126
SMBLB26,2024-01-05 21:00:00,2024-01-05 22:00:00,1,5.59,524.99,76.45,114
SMBLB26,2024-01-05 22:00:00,2024-01-05 23:00:00,1,9.41,361.36,81.5,124
SMBLB26,2024-01-05 23:00:00,2024-01-06 00:00:00,1,13.3,369.18,61.12,124
SMBLB26,2024-01-06 00:00:00,2024-01-06 01:00:00,1,16.13,672.21,63.98,125
SMBLB26,2024-01-06 01:00:00,2024-01-06 02:00:00,1,11.91,552.86,63.54,125
SMBLB26,2024-01-06 02:00:00,2024-01-06 03:00:00,1,9.56,315.88,75.52,124
SMBLB26,2024-01-06 03:00:00,2024-01-06 04:00:00,1,9.51,574.21,74.49,128
SMBLB26,2024-01-06 04:00:00,2024-01-06 05:00:00,1,15.19,602.34,75.57,115
SMBLB26,2024-01-06 05:00:00,2024-01-06 06:00:00,1,19.1,454.78,62.84,123
SMBLB26,2024-01-06 06:00:00,2024-01-06 07:00:00,1,12.95,764.51,67.73,118
SMBLB26,2024-01-06 07:00:00,2024-01-06 08:00:00,1,19.15,312.5,89.67,129
SMBLB26,2024-01-06 08:00:00,2024-01-06 09:00:00,1,5.65,604.87,65.66,118
SMBLB26,2024-01-06 09:00:00,2024-01-06 10:00:00,1,15.65,701.31,88.84,111
SMBLB26,2024-01-06 10:00:00,2024-01-06 11:00:00,1,7.94,624.79,73.83,113
SMBLB26,2024-01-06 11:00:00,2024-01-06 12:00:00,1,18.39,636.46,63.69,111
SMBLB26,2024-01-06 12:00:00,2024-01-06 13:00:00,1,11.97,484.83,87.34,113
SMBLB26,2024-01-06 13:00:00,2024-01-06 14:00:00,1,13.1,597.2,71.89,113
SMBLB26,2024-01-06 14:00:00,2024-01-06 15:00:00,1,18.98,743.45,66.9,128
SMBLB26,2024-01-06 15:00:00,2024-01-06 16:00:00,1,5.91,759.46,83.87,124
SMBLB26,2024-01-06 16:00:00,2024-01-06 17:00:00,1,8.72,440.28,75.67,117
SMBLB26,2024-01-06 17:00:00,2024-01-06 18:00:00,1,15.69,527.04,76.34,111
SMBLB26,2024-01-06 18:00:00,2024-01-06 19:00:00,1,9.24,547.63,82.99,123
SMBLB26,2024-01-06 19:00:00,2024-01-06 20:00:00,1,5.04,725.26,64.27,112
SMBLB26,2024-01-06 20:00:00,2024-01-06 21:00:00,1,12.04,705.29,88.11,110
SMBLB26,2024-01-06 21:00:00,2024-01-06 22:00:00,1,18.58,566.91,60.62,127
SMBLB26,2024-01-06 22:00:00,2024-01-06 23:00:00,1,19.84,495.13,78.54,115
SMBLB26,2024-01-06 23:00:00,2024-01-07 00:00:00,1,7.06,765.76,71.64,120
SMBLB26,2024-01-07 00:00:00,2024-01-07 01:00:00,1,13.16,307.65,82.03,129
SMBLB26,2024-01-07 01:00:00,2024-01-07 02:00:00,1,11.28,727.94,71.37,126
SMBLB26,2024-01-07 02:00:00,2024-01-07 03:00:00,1,14.94,431.59,72.26,110
SMBLB26,2024-01-07 03:00:00,2024-01-07 04:00:00,1,10.09,590.21,79.4,120
SMBLB26,2024-01-07 04:00:00,2024-01-07 05:00:00,1,6.36,317.1,72.07,113
SMBLB26,2024-01-07 05:00:00,2024-01-07 06:00:00,1,5.77,435.02,65.17,114
SMBLB26,2024-01-07 06:00:00,2024-01-07 07:00:00,1,14.04,679.21,75.44,127
SMBLB26,2024-01-07 07:00:00,2024-01-07 08:00:00,1,16.56,622.53,84.71,116
SMBLB26,2024-01-07 08:00:00,2024-01-07 09:00:00,1,18.37,614.21,72.46,121
SMBLB26,2024-01-07 09:00:00,2024-01-07 10:00:00,1,7.23,674.66,71.05,126
SMBLB26,2024-01-07 10:00:00,2024-01-07 11:00:00,1,15.29,758.57,86.48,115
SMBLB26,2024-01-07 11:00:00,2024-01-07 12:00:00,1,15.08,679.24,76.95,125
SMBLB26,2024-01-07 12:00:00,2024-01-07 13:00:00,1,14.7,765.35,62.0,120
