SN,timestamp,end,Status,Watts,Lumens,Temp,Voltage
SMBLB1,2020-01-01 00:00:00,2020-01-01 01:00:00,1,15.12,333.16,63.65,110
SMBLB1,2020-01-01 06:00:00,2020-01-01 07:00:00,1,18.01,314.57,88.05,110
SMBLB1,2020-01-01 12:00:00,2020-01-01 13:00:00,1,18.33,726.68,64.76,129
SMBLB1,2020-01-01 18:00:00,2020-01-01 19:00:00,1,18.01,394.94,79.71,122
SMBLB1,2020-01-02 00:00:00,2020-01-02 01:00:00,1,7.53,378.94,74.67,114
SMBLB1,2020-01-02 06:00:00,2020-01-02 07:00:00,1,15.45,778.26,66.78,115
SMBLB1,2020-01-02 12:00:00,2020-01-02 13:00:00,1,16.18,680.89,89.79,119
SMBLB1,2020-01-02 18:00:00,2020-01-02 19:00:00,1,17.14,437.58,80.67,126
SMBLB1,2020-01-03 00:00:00,2020-01-03 01:00:00,1,12.39,459.17,60.17,110
SMBLB1,2020-01-03 06:00:00,2020-01-03 07:00:00,1,16.02,723.75,60.54,123
SMBLB1,2020-01-03 12:00:00,2020-01-03 13:00:00,1,18.41,743.84,87.82,116
SMBLB1,2020-01-03 18:00:00,2020-01-03 19:00:00,1,6.86,628.89,66.33,112
SMBLB1,2020-01-04 00:00:00,2020-01-04 01:00:00,1,8.24,503.93,71.87,111
SMBLB1,2020-01-04 06:00:00,2020-01-04 07:00:00,1,6.28,474.36,78.55,116
SMBLB1,2020-01-04 12:00:00,2020-01-04 13:00:00,1,15.24,415.48,89.7,115
SMBLB1,2020-01-04 18:00:00,2020-01-04 19:00:00,1,15.42,447.91,72.54,120
SMBLB1,2020-01-05 00:00:00,2020-01-05 01:00:00,1,9.53,770.03,88.3,116
SMBLB1,2020-01-05 06:00:00,2020-01-05 07:00:00,1,9.95,647.57,68.34,126
SMBLB1,2020-01-05 12:00:00,2020-01-05 13:00:00,1,19.44,583.99,78.24,111
SMBLB1,2020-01-05 18:00:00,2020-01-05 19:00:00,1,12.48,720.67,74.38,119
SMBLB1,2020-01-06 00:00:00,2020-01-06 01:00:00,1,7.44,661.01,85.91,127
SMBLB1,2020-01-06 06:00:00,2020-01-06 07:00:00,1,15.74,743.39,86.07,118
SMBLB1,2020-01-06 12:00:00,2020-01-06 13:00:00,1,8.76,665.51,61.87,110
SMBLB1,2020-01-06 18:00:00,2020-01-06 19:00:00,1,16.4,407.81,80.38,129
SMBLB1,2020-01-07 00:00:00,2020-01-07 01:00:00,1,6.6,538.9,83.95,120
SMBLB1,2020-01-07 06:00:00,2020-01-07 07:00:00,1,13.47,597.66,81.48,115
SMBLB1,2020-01-07 12:00:00,2020-01-07 13:00:00,1,11.36,411.76,63.2,126
SMBLB1,2020-01-07 18:00:00,2020-01-07 19:00:00,1,7.86,544.83,82.57,117
SMBLB1,2020-01-08 00:00:00,2020-01-08 01:00:00,1,14.18,386.33,66.85,120
SMBLB1,2020-01-08 06:00:00,2020-01-08 07:00:00,1,8.96,657.58,64.0,129
