SN,timestamp,end,Status,Watts,Lumens,Temp,Voltage
SMBLB51,2020-01-01 00:00:00,2020-01-01 01:00:00,1,12.91,614.6,75.75,117
SMBLB52,2020-01-01 00:00:00,2020-01-01 01:00:00,0,0,0,80.31,121
SMBLB53,2020-01-01 00:00:00,2020-01-01 01:00:00,0,0,0,85.02,113
SMBLB54,2020-01-01 00:00:00,2020-01-01 01:00:00,0,0,0,73.23,123
SMBLB55,2020-01-01 01:00:00,2020-01-01 02:00:00,1,15.22,619.09,78.68,116
SMBLB56,2020-01-01 01:00:00,2020-01-01 02:00:00,1,15.7,679.4,84.5,129
SMBLB57,2020-01-01 01:00:00,2020-01-01 02:00:00,1,7.16,715.06,79.19,126
SMBLB58,2020-01-01 01:00:00,2020-01-01 02:00:00,0,0,0,78.29,110
SMBLB59,2020-01-01 02:00:00,2020-01-01 03:00:00,1,16.33,522.76,81.01,112
SMBLB60,2020-01-01 02:00:00,2020-01-01 03:00:00,0,0,0,86.74,128
SMBLB61,2020-01-01 02:00:00,2020-01-01 03:00:00,0,0,0,62.99,127
SMBLB62,2020-01-01 02:00:00,2020-01-01 03:00:00,1,11.49,482.03,85.65,111
SMBLB63,2020-01-01 03:00:00,2020-01-01 04:00:00,0,0,0,86.68,128
SMBLB64,2020-01-01 03:00:00,2020-01-01 04:00:00,0,0,0,73.86,124
SMBLB65,2020-01-01 03:00:00,2020-01-01 04:00:00,1,19.86,744.48,69.1,119
SMBLB66,2020-01-01 03:00:00,2020-01-01 04:00:00,1,8.12,347.32,62.99,126
SMBLB67,2020-01-01 04:00:00,2020-01-01 05:00:00,0,0,0,67.92,129
SMBLB68,2020-01-01 04:00:00,2020-01-01 05:00:00,1,15.27,479.0,60.21,114
SMBLB69,2020-01-01 04:00:00,2020-01-01 05:00:00,1,6.4,522.86,64.45,125
SMBLB70,2020-01-01 04:00:00,2020-01-01 05:00:00,0,0,0,61.69,124
SMBLB71,2020-01-01 05:00:00,2020-01-01 06:00:00,1,11.54,387.95,75.4,119
SMBLB72,2020-01-01 05:00:00,2020-01-01 06:00:00,1,7.26,769.94,89.54,121
SMBLB73,2020-01-01 05:00:00,2020-01-01 06:00:00,1,7.36,524.16,71.92,118
SMBLB74,2020-01-01 05:00:00,2020-01-01 06:00:00,0,0,0,76.0,111
SMBLB51,2020-01-01 06:00:00,2020-01-01 07:00:00,1,14.24,787.58,75.9,123
SMBLB52,2020-01-01 06:00:00,2020-01-01 07:00:00,0,0,0,62.6,114
